row_id,segment_kmeans_6
0,3
1,2
2,3
3,1
4,1
5,0
6,5
7,0
8,0
9,2
10,1
11,3
12,2
13,2
14,0
15,1
16,0
17,3
18,1
19,4
20,1
21,2
22,0
23,4
24,3
25,1
26,1
27,0
28,1
29,4
30,0
31,0
32,2
33,2
34,5
35,2
36,4
37,4
38,1
39,1
40,3
41,1
42,2
43,3
44,3
45,4
46,3
47,1
48,3
49,0
50,3
51,2
52,5
53,2
54,3
55,1
56,4
57,0
58,0
59,2
60,3
61,5
62,0
63,0
64,0
65,1
66,1
67,5
68,4
69,1
70,2
71,3
72,0
73,1
74,0
75,1
76,0
77,4
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,2
86,2
87,1
88,3
89,2
90,0
91,1
92,3
93,2
94,3
95,1
96,2
97,4
98,1
99,0
100,3
101,2
102,1
103,2
104,5
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,2
113,3
114,4
115,2
116,2
117,1
118,2
119,3
120,2
121,1
122,0
123,1
124,2
125,1
126,0
127,1
128,0
129,3
130,2
131,1
132,0
133,3
134,3
135,0
136,3
137,4
138,3
139,2
140,0
141,0
142,1
143,2
144,3
145,0
146,2
147,2
148,2
149,4
150,2
151,4
152,0
153,4
154,2
155,2
156,0
157,1
158,3
159,2
160,3
161,0
162,0
163,0
164,2
165,3
166,1
167,1
168,2
169,5
170,3
171,0
172,2
173,1
174,0
175,2
176,2
177,0
178,0
179,4
180,3
181,1
182,3
183,5
184,2
185,2
186,2
187,0
188,1
189,3
190,4
191,0
192,2
193,3
194,0
195,3
196,1
197,2
198,0
199,2
200,2
201,1
202,1
203,1
204,2
205,1
206,1
207,0
208,0
209,1
210,1
211,3
212,4
213,0
214,1
215,1
216,1
217,0
218,3
219,0
220,1
221,0
222,3
223,3
224,3
225,0
226,1
227,1
228,2
229,0
230,2
231,0
232,0
233,4
234,0
235,4
236,2
237,2
238,0
239,4
240,0
241,2
242,1
243,1
244,1
245,0
246,1
247,3
248,1
249,1
250,0
251,1
252,5
253,1
254,2
255,0
256,1
257,2
258,4
259,3
260,0
261,5
262,0
263,0
264,0
265,1
266,2
267,3
268,5
269,0
270,2
271,1
272,0
273,5
274,0
275,2
276,2
277,0
278,2
279,0
280,0
281,4
282,1
283,2
284,3
285,0
286,1
287,3
288,1
289,2
290,3
291,1
292,3
293,4
294,3
295,2
296,0
297,3
298,0
299,3
300,2
301,1
302,1
303,2
304,2
305,1
306,0
307,1
308,1
309,3
310,1
311,1
312,0
313,1
314,1
315,1
316,3
317,0
318,1
319,0
320,5
321,2
322,2
323,3
324,2
325,0
326,5
327,0
328,2
329,1
330,0
331,3
332,2
333,0
334,3
335,2
336,4
337,3
338,2
339,2
340,1
341,1
342,2
343,3
344,1
345,3
346,4
347,3
348,0
349,2
350,1
351,3
352,1
353,1
354,2
355,2
356,0
357,1
358,3
359,1
360,0
361,3
362,0
363,2
364,1
365,2
366,3
367,2
368,4
369,4
370,4
371,4
372,1
373,1
374,0
375,3
376,2
377,2
378,1
379,0
380,3
381,1
382,1
383,1
384,2
385,3
386,1
387,2
388,2
389,0
390,1
391,0
392,2
393,0
394,1
395,0
396,2
397,2
398,4
399,1
400,4
401,2
402,0
403,1
404,1
405,1
406,4
407,2
408,2
409,4
410,4
411,3
412,1
413,1
414,2
415,1
416,3
417,3
418,4
419,3
420,0
421,2
422,1
423,0
424,0
425,2
426,4
427,1
428,0
429,0
430,1
431,1
432,0
433,3
434,4
435,2
436,2
437,2
438,1
439,0
440,5
441,0
442,4
443,2
444,0
445,3
446,0
447,3
448,3
449,0
450,1
451,1
452,4
453,2
454,0
455,0
456,4
457,2
458,0
459,4
460,0
461,0
462,0
463,0
464,4
465,1
466,3
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,2
478,1
479,1
480,2
481,3
482,1
483,3
484,3
485,2
486,3
487,4
488,1
489,0
490,0
491,2
492,0
493,1
494,0
495,1
496,2
497,3
498,5
499,3
